protein1 protein2 experimental database textmining combined_score
1028307.EAE_00370 1028307.EAE_13995 173 0 0 173
1028307.EAE_00370 1028307.EAE_23860 173 0 0 173
1028307.EAE_00370 1028307.EAE_23650 103 0 104 161
1028307.EAE_00370 1028307.EAE_04465 197 0 327 436
1028307.EAE_00370 1028307.EAE_03860 197 0 199 329
1028307.EAE_00370 1028307.EAE_11210 103 0 195 247
1028307.EAE_00370 1028307.EAE_00375 287 0 0 286
1028307.EAE_00375 1028307.EAE_18935 0 650 0 650
1028307.EAE_00375 1028307.EAE_21535 0 650 0 650
1028307.EAE_00375 1028307.EAE_06510 984 0 493 991
1028307.EAE_00375 1028307.EAE_08385 984 0 0 984
1028307.EAE_00375 1028307.EAE_15870 166 0 63 185
1028307.EAE_00375 1028307.EAE_11955 309 0 219 437
1028307.EAE_00375 1028307.EAE_09860 238 0 0 237
1028307.EAE_00375 1028307.EAE_23855 0 650 0 650
1028307.EAE_00375 1028307.EAE_18470 136 0 153 236
1028307.EAE_00375 1028307.EAE_05460 278 0 149 359
1028307.EAE_00375 1028307.EAE_24025 221 0 218 364
1028307.EAE_00375 1028307.EAE_15495 288 0 201 406
1028307.EAE_00375 1028307.EAE_01630 0 650 0 650
1028307.EAE_00375 1028307.EAE_09695 288 0 201 406
1028307.EAE_00375 1028307.EAE_14880 238 0 63 255
1028307.EAE_00375 1028307.EAE_17460 238 0 63 255
1028307.EAE_00375 1028307.EAE_13995 498 0 270 617
1028307.EAE_00375 1028307.EAE_00465 0 600 0 600
1028307.EAE_00375 1028307.EAE_09385 213 0 0 213
1028307.EAE_00375 1028307.EAE_08380 289 0 0 288
1028307.EAE_00375 1028307.EAE_18025 288 0 201 406
1028307.EAE_00375 1028307.EAE_04465 198 0 109 254
1028307.EAE_00375 1028307.EAE_07870 0 0 546 546
1028307.EAE_00375 1028307.EAE_03860 288 0 218 419
1028307.EAE_00375 1028307.EAE_09680 0 650 0 650
1028307.EAE_00375 1028307.EAE_13590 0 600 0 600
1028307.EAE_00375 1028307.EAE_00370 287 0 0 286
1028307.EAE_00375 1028307.EAE_09655 113 0 270 324
1028307.EAE_00375 1028307.EAE_07785 164 0 0 163
1028307.EAE_00375 1028307.EAE_16535 238 0 63 255
1028307.EAE_00375 1028307.EAE_13580 238 0 117 298
1028307.EAE_00375 1028307.EAE_14670 0 650 0 650
1028307.EAE_00375 1028307.EAE_08395 278 0 149 359
1028307.EAE_00375 1028307.EAE_03305 136 0 153 236
1028307.EAE_00375 1028307.EAE_00580 0 650 0 650
