protein1 protein2 experimental database textmining combined_score
573.JG24_00670 573.JG24_29340 154 0 0 153
573.JG24_00670 573.JG24_03670 154 0 0 153
573.JG24_00670 573.JG24_02870 138 113 59 217
573.JG24_00670 573.JG24_10525 154 0 0 153
573.JG24_00670 573.JG24_24335 138 113 59 217
573.JG24_00670 573.JG24_27635 138 113 59 217
573.JG24_00680 573.JG24_24770 66 0 149 171
573.JG24_00680 573.JG24_23375 252 0 0 252
573.JG24_00690 573.JG24_24390 138 113 59 217
573.JG24_00690 573.JG24_01170 138 113 59 217
573.JG24_00690 573.JG24_29515 156 0 58 170
573.JG24_00690 573.JG24_18930 154 0 0 153
573.JG24_00690 573.JG24_10525 154 0 0 153
573.JG24_00690 573.JG24_24335 138 113 59 217
573.JG24_00690 573.JG24_27635 138 113 59 217
573.JG24_00690 573.JG24_29340 154 0 0 153
573.JG24_00690 573.JG24_03670 154 0 0 153
573.JG24_00690 573.JG24_02870 138 113 59 217
573.JG24_00700 573.JG24_16565 244 0 0 243
573.JG24_00730 573.JG24_05650 195 0 0 195
573.JG24_00730 573.JG24_24355 207 0 92 249
573.JG24_00730 573.JG24_15650 0 0 163 163
573.JG24_00730 573.JG24_00810 207 0 92 249
573.JG24_00730 573.JG24_29920 126 0 177 249
573.JG24_00730 573.JG24_02770 207 0 92 249
573.JG24_00730 573.JG24_00245 207 0 92 249
573.JG24_00730 573.JG24_24405 207 0 92 249
573.JG24_00730 573.JG24_01550 207 0 92 249
573.JG24_00740 573.JG24_26575 152 0 180 274
573.JG24_00740 573.JG24_28400 264 0 0 264
573.JG24_00740 573.JG24_23330 0 0 184 183
573.JG24_00740 573.JG24_30375 152 0 0 151
573.JG24_00740 573.JG24_21175 110 0 201 258
573.JG24_00740 573.JG24_27195 232 0 0 231
573.JG24_00740 573.JG24_16615 159 0 0 158
573.JG24_00740 573.JG24_04545 0 0 201 201
573.JG24_00740 573.JG24_25000 70 0 187 211
573.JG24_00740 573.JG24_18955 195 0 201 329
573.JG24_00740 573.JG24_25800 105 0 492 525
573.JG24_00740 573.JG24_26130 264 0 0 264
573.JG24_00740 573.JG24_04535 232 0 0 231
573.JG24_00740 573.JG24_19695 0 0 201 201
573.JG24_00750 573.JG24_08480 204 404 0 505
573.JG24_00750 573.JG24_15880 204 404 0 505
573.JG24_00750 573.JG24_05780 116 571 0 604
573.JG24_00750 573.JG24_25485 238 156 0 329
573.JG24_00750 573.JG24_13685 204 404 0 505
573.JG24_00750 573.JG24_28400 113 225 0 283
573.JG24_00750 573.JG24_08210 136 571 0 613
573.JG24_00750 573.JG24_03090 289 571 0 681
573.JG24_00750 573.JG24_04535 135 441 0 495
573.JG24_00750 573.JG24_03255 204 404 0 505
573.JG24_00770 573.JG24_17650 110 0 138 200
573.JG24_00770 573.JG24_22980 129 0 250 318
573.JG24_00770 573.JG24_16495 0 0 174 173
573.JG24_00770 573.JG24_09885 110 0 138 200
573.JG24_00770 573.JG24_20205 229 0 493 592
573.JG24_00770 573.JG24_17640 104 0 183 236
573.JG24_00770 573.JG24_11305 155 0 91 199
573.JG24_00770 573.JG24_22255 129 0 281 346
573.JG24_00770 573.JG24_16530 155 0 91 199
573.JG24_00770 573.JG24_27485 0 0 202 202
573.JG24_00770 573.JG24_08835 0 0 280 280
573.JG24_00770 573.JG24_06495 64 156 0 176
573.JG24_00770 573.JG24_11970 155 0 91 199
573.JG24_00770 573.JG24_08880 0 0 174 173
573.JG24_00785 573.JG24_16490 133 0 92 179
573.JG24_00785 573.JG24_18770 122 0 127 200
573.JG24_00790 573.JG24_27725 105 0 139 196
573.JG24_00795 573.JG24_13485 260 0 0 260
573.JG24_00795 573.JG24_23075 254 0 0 254
573.JG24_00795 573.JG24_22280 134 0 125 209
573.JG24_00795 573.JG24_29450 86 277 0 310
573.JG24_00795 573.JG24_13580 154 0 0 153
573.JG24_00795 573.JG24_23490 248 0 0 248
573.JG24_00795 573.JG24_09315 104 97 0 156
573.JG24_00795 573.JG24_25025 253 0 0 252
573.JG24_00795 573.JG24_21355 191 488 0 568
573.JG24_00795 573.JG24_28925 104 107 0 165
573.JG24_00795 573.JG24_29045 237 0 0 237
573.JG24_00795 573.JG24_13310 104 107 0 165
573.JG24_00795 573.JG24_06600 259 0 127 325
573.JG24_00795 573.JG24_23170 280 0 0 280
573.JG24_00795 573.JG24_15930 104 406 0 445
573.JG24_00795 573.JG24_23225 254 0 0 254
573.JG24_00795 573.JG24_14610 104 406 0 445
573.JG24_00795 573.JG24_07575 104 107 0 165
573.JG24_00795 573.JG24_10370 104 97 0 156
573.JG24_00795 573.JG24_07605 104 107 0 165
573.JG24_00795 573.JG24_03210 195 0 0 195
573.JG24_00795 573.JG24_23650 195 0 0 195
573.JG24_00795 573.JG24_23220 254 0 0 254
573.JG24_00795 573.JG24_23055 195 0 131 270
573.JG24_00795 573.JG24_12375 254 0 0 254
573.JG24_00795 573.JG24_08375 191 488 0 568
573.JG24_00795 573.JG24_20595 104 97 0 156
573.JG24_00795 573.JG24_05055 104 107 0 165
573.JG24_00795 573.JG24_26185 86 194 0 231
573.JG24_00795 573.JG24_22735 283 0 0 282
573.JG24_00795 573.JG24_04270 267 0 0 267
573.JG24_00795 573.JG24_30160 179 0 0 179
573.JG24_00795 573.JG24_09180 255 0 149 338
573.JG24_00795 573.JG24_08340 253 0 0 252
573.JG24_00795 573.JG24_10550 104 97 0 156
573.JG24_00795 573.JG24_28430 104 97 0 156
573.JG24_00795 573.JG24_11730 104 107 0 165
573.JG24_00795 573.JG24_06245 195 484 254 663
573.JG24_00795 573.JG24_09170 195 0 0 195
573.JG24_00795 573.JG24_27580 134 0 125 209
573.JG24_00795 573.JG24_03095 267 0 0 267
573.JG24_00795 573.JG24_26385 259 0 127 325
573.JG24_00795 573.JG24_22725 259 0 127 325
573.JG24_00795 573.JG24_19340 237 0 0 237
573.JG24_00795 573.JG24_23060 195 0 131 270
573.JG24_00795 573.JG24_16265 247 0 0 246
573.JG24_00795 573.JG24_21165 182 0 104 235
573.JG24_00795 573.JG24_16950 134 0 125 209
573.JG24_00795 573.JG24_27950 152 0 0 151
573.JG24_00795 573.JG24_01795 134 0 125 209
573.JG24_00795 573.JG24_30345 195 0 131 270
573.JG24_00795 573.JG24_29100 104 97 0 156
573.JG24_00795 573.JG24_16565 246 0 0 245
573.JG24_00795 573.JG24_09875 195 0 0 195
573.JG24_00795 573.JG24_21615 195 0 0 195
573.JG24_00795 573.JG24_28405 250 0 0 250
573.JG24_00795 573.JG24_12125 255 0 149 338
573.JG24_00795 573.JG24_15635 237 0 0 237
573.JG24_00795 573.JG24_19015 259 0 127 325
573.JG24_00795 573.JG24_24780 125 481 0 526
573.JG24_00795 573.JG24_09595 156 0 0 155
