protein1 protein2 experimental database textmining combined_score
1280.SAXN108_0018 1280.SAXN108_0455 371 0 121 423
1280.SAXN108_0018 1280.SAXN108_2224 202 0 122 269
1280.SAXN108_0018 1280.SAXN108_1584 202 0 588 657
1280.SAXN108_0018 1280.SAXN108_1220 162 0 0 161
1280.SAXN108_0018 1280.SAXN108_2016 0 0 162 161
1280.SAXN108_0018 1280.SAXN108_2342 180 0 0 179
1280.SAXN108_0018 1280.SAXN108_0416 180 0 0 179
1280.SAXN108_0018 1280.SAXN108_0597 0 0 342 341
1280.SAXN108_0018 1280.SAXN108_1290 0 0 401 400
1280.SAXN108_0018 1280.SAXN108_0002 182 0 400 488
1280.SAXN108_0018 1280.SAXN108_0601 181 0 0 181
1280.SAXN108_0018 1280.SAXN108_0001 182 0 405 492
1280.SAXN108_0018 1280.SAXN108_1870 179 0 0 179
1280.SAXN108_0018 1280.SAXN108_2150 0 0 181 181
1280.SAXN108_0018 1280.SAXN108_2088 180 0 0 179
1280.SAXN108_0018 1280.SAXN108_1959 180 0 0 179
1280.SAXN108_0018 1280.SAXN108_1606 0 0 162 161
1280.SAXN108_0018 1280.SAXN108_1711 0 0 705 705
1280.SAXN108_0018 1280.SAXN108_2493 181 0 0 181
1280.SAXN108_0018 1280.SAXN108_1359 181 0 0 181
1280.SAXN108_0018 1280.SAXN108_2309 181 0 0 181
1280.SAXN108_0018 1280.SAXN108_0327 180 0 0 179
1280.SAXN108_0018 1280.SAXN108_1605 0 0 159 158
1280.SAXN108_0018 1280.SAXN108_0528 264 0 518 630
1280.SAXN108_0018 1280.SAXN108_0467 178 0 122 247
1280.SAXN108_0018 1280.SAXN108_1710 371 0 590 731
1280.SAXN108_0018 1280.SAXN108_2005 178 0 401 486
1280.SAXN108_0018 1280.SAXN108_0446 162 0 0 161
1280.SAXN108_0018 1280.SAXN108_1211 177 0 0 177
1280.SAXN108_0018 1280.SAXN108_1612 177 0 0 177
1280.SAXN108_0019 1280.SAXN108_2828 168 63 0 187
1280.SAXN108_0019 1280.SAXN108_0219 255 0 0 254
1280.SAXN108_0019 1280.SAXN108_0771 204 0 0 204
1280.SAXN108_0019 1280.SAXN108_0510 193 0 0 193
1280.SAXN108_0019 1280.SAXN108_0102 193 0 0 193
1280.SAXN108_0019 1280.SAXN108_1532 170 0 0 169
1280.SAXN108_0019 1280.SAXN108_1263 170 0 0 169
1280.SAXN108_0019 1280.SAXN108_1765 183 0 0 183
1280.SAXN108_0019 1280.SAXN108_1811 251 0 0 250
1280.SAXN108_0019 1280.SAXN108_0604 227 0 0 226
1280.SAXN108_0019 1280.SAXN108_0677 121 280 0 340
1280.SAXN108_0019 1280.SAXN108_1662 286 0 403 555
1280.SAXN108_0019 1280.SAXN108_2122 307 0 0 307
1280.SAXN108_0019 1280.SAXN108_2133 255 0 0 254
1280.SAXN108_0019 1280.SAXN108_1605 170 0 0 169
1280.SAXN108_0019 1280.SAXN108_2405 273 0 0 273
1280.SAXN108_0019 1280.SAXN108_0134 305 0 0 305
1280.SAXN108_0019 1280.SAXN108_0101 193 0 0 193
1280.SAXN108_0019 1280.SAXN108_1231 168 63 0 187
1280.SAXN108_0019 1280.SAXN108_1173 121 280 0 340
1280.SAXN108_0019 1280.SAXN108_2680 227 0 0 226
1280.SAXN108_0019 1280.SAXN108_1607 170 0 0 169
1280.SAXN108_0019 1280.SAXN108_0844 203 0 0 203
1280.SAXN108_0019 1280.SAXN108_1720 224 0 0 224
1280.SAXN108_0019 1280.SAXN108_1752 300 0 0 300
