protein1 protein2 experimental database textmining combined_score
565664.EFXG_00011 565664.EFXG_01009 158 0 0 157
565664.EFXG_00011 565664.EFXG_01198 165 0 0 165
565664.EFXG_00011 565664.EFXG_02414 189 0 0 189
565664.EFXG_00012 565664.EFXG_01213 374 0 0 374
565664.EFXG_00012 565664.EFXG_01728 179 0 0 179
565664.EFXG_00012 565664.EFXG_01687 384 0 0 384
565664.EFXG_00012 565664.EFXG_00122 374 0 0 374
565664.EFXG_00012 565664.EFXG_00089 381 0 0 381
565664.EFXG_00012 565664.EFXG_02601 362 0 0 362
565664.EFXG_00012 565664.EFXG_00324 179 0 0 179
565664.EFXG_00012 565664.EFXG_01375 374 0 0 374
565664.EFXG_00012 565664.EFXG_03874 278 0 0 278
565664.EFXG_00012 565664.EFXG_01078 384 0 0 384
565664.EFXG_00012 565664.EFXG_01925 362 0 0 362
565664.EFXG_00012 565664.EFXG_01315 362 0 0 362
565664.EFXG_00012 565664.EFXG_01655 384 0 0 384
565664.EFXG_00012 565664.EFXG_01867 374 0 0 374
565664.EFXG_00012 565664.EFXG_00501 381 0 0 381
565664.EFXG_00012 565664.EFXG_02094 374 0 0 374
565664.EFXG_00012 565664.EFXG_02434 278 0 0 278
565664.EFXG_00012 565664.EFXG_00097 374 0 0 374
565664.EFXG_00012 565664.EFXG_01066 374 0 0 374
565664.EFXG_00012 565664.EFXG_02372 374 0 0 374
565664.EFXG_00012 565664.EFXG_00011 335 0 814 871
565664.EFXG_00012 565664.EFXG_01844 374 0 0 374
565664.EFXG_00012 565664.EFXG_02084 381 0 0 381
565664.EFXG_00012 565664.EFXG_02643 384 0 0 384
565664.EFXG_00012 565664.EFXG_01264 278 0 0 278
565664.EFXG_00012 565664.EFXG_00653 362 0 0 362
565664.EFXG_00012 565664.EFXG_01045 179 0 0 179
565664.EFXG_00012 565664.EFXG_00078 374 0 0 374
565664.EFXG_00014 565664.EFXG_02447 509 0 0 509
565664.EFXG_00014 565664.EFXG_02534 384 0 185 476
565664.EFXG_00015 565664.EFXG_02604 186 0 0 186
565664.EFXG_00015 565664.EFXG_03831 186 0 0 186
565664.EFXG_00015 565664.EFXG_02414 159 0 0 158
565664.EFXG_00015 565664.EFXG_00789 384 0 0 384
565664.EFXG_00015 565664.EFXG_00241 142 875 136 899
565664.EFXG_00015 565664.EFXG_00791 384 0 0 384
565664.EFXG_00015 565664.EFXG_02368 159 0 0 158
565664.EFXG_00015 565664.EFXG_01082 184 0 0 183
565664.EFXG_00015 565664.EFXG_00370 159 0 0 158
565664.EFXG_00015 565664.EFXG_00361 355 0 268 507
565664.EFXG_00015 565664.EFXG_00161 309 0 0 309
565664.EFXG_00015 565664.EFXG_02607 184 0 0 183
565664.EFXG_00015 565664.EFXG_01073 0 0 158 157
565664.EFXG_00015 565664.EFXG_00795 312 0 175 408
565664.EFXG_00015 565664.EFXG_00771 142 887 0 898
565664.EFXG_00015 565664.EFXG_01007 202 0 0 202
565664.EFXG_00015 565664.EFXG_00388 309 0 0 309
565664.EFXG_00015 565664.EFXG_01850 384 0 711 814
565664.EFXG_00015 565664.EFXG_00367 164 0 0 163
565664.EFXG_00015 565664.EFXG_00251 173 0 0 173
565664.EFXG_00015 565664.EFXG_01291 158 0 110 218
565664.EFXG_00015 565664.EFXG_00004 162 0 0 161
565664.EFXG_00015 565664.EFXG_00129 0 882 278 911
565664.EFXG_00015 565664.EFXG_02412 309 0 0 309
565664.EFXG_00015 565664.EFXG_00772 0 0 781 781
565664.EFXG_00015 565664.EFXG_01107 267 0 262 435
565664.EFXG_00015 565664.EFXG_02452 164 0 810 834
565664.EFXG_00015 565664.EFXG_02405 186 0 0 186
565664.EFXG_00015 565664.EFXG_01020 184 0 0 183
565664.EFXG_00015 565664.EFXG_00523 159 0 0 158
565664.EFXG_00015 565664.EFXG_02054 159 0 0 158
565664.EFXG_00015 565664.EFXG_00788 204 0 0 204
565664.EFXG_00015 565664.EFXG_00219 0 0 574 574
565664.EFXG_00015 565664.EFXG_01292 309 0 0 309
565664.EFXG_00015 565664.EFXG_00152 213 0 0 213
565664.EFXG_00015 565664.EFXG_00580 188 0 0 188
565664.EFXG_00015 565664.EFXG_00057 159 0 0 158
565664.EFXG_00015 565664.EFXG_01550 186 0 0 186
565664.EFXG_00015 565664.EFXG_01639 159 0 0 158
565664.EFXG_00015 565664.EFXG_00477 213 0 0 213
565664.EFXG_00015 565664.EFXG_01959 184 0 0 183
565664.EFXG_00015 565664.EFXG_00220 359 0 0 359
565664.EFXG_00015 565664.EFXG_00584 162 0 0 161
565664.EFXG_00015 565664.EFXG_01733 159 0 0 158
565664.EFXG_00015 565664.EFXG_00084 213 0 0 213
565664.EFXG_00015 565664.EFXG_00282 186 0 0 186
565664.EFXG_00015 565664.EFXG_01369 267 0 573 673
565664.EFXG_00015 565664.EFXG_00808 209 0 0 209
565664.EFXG_00015 565664.EFXG_00656 209 0 0 209
565664.EFXG_00015 565664.EFXG_00337 309 0 0 309
565664.EFXG_00015 565664.EFXG_00498 0 0 158 157
565664.EFXG_00015 565664.EFXG_00978 309 0 0 309
565664.EFXG_00015 565664.EFXG_00232 188 0 0 188
565664.EFXG_00015 565664.EFXG_00104 213 0 0 213
565664.EFXG_00015 565664.EFXG_01847 188 0 0 188
565664.EFXG_00015 565664.EFXG_00749 159 0 0 158
565664.EFXG_00015 565664.EFXG_00790 204 0 0 204
565664.EFXG_00015 565664.EFXG_02041 159 0 0 158
565664.EFXG_00015 565664.EFXG_00333 159 0 0 158
565664.EFXG_00015 565664.EFXG_01688 161 0 580 632
565664.EFXG_00015 565664.EFXG_00854 188 0 0 188
565664.EFXG_00015 565664.EFXG_00551 204 0 0 204
565664.EFXG_00015 565664.EFXG_01083 355 0 0 355
565664.EFXG_00015 565664.EFXG_00225 193 0 0 193
565664.EFXG_00015 565664.EFXG_01036 213 0 0 213
565664.EFXG_00015 565664.EFXG_00280 184 0 0 183
565664.EFXG_00015 565664.EFXG_00793 204 0 0 204
565664.EFXG_00015 565664.EFXG_01213 138 886 0 897
565664.EFXG_00015 565664.EFXG_00098 384 0 756 843
565664.EFXG_00015 565664.EFXG_00079 213 886 0 906
565664.EFXG_00015 565664.EFXG_03882 309 0 0 309
565664.EFXG_00015 565664.EFXG_00083 119 884 0 893
565664.EFXG_00015 565664.EFXG_00550 166 0 0 165
565664.EFXG_00015 565664.EFXG_02381 159 0 0 158
565664.EFXG_00015 565664.EFXG_00132 0 0 804 804
565664.EFXG_00015 565664.EFXG_01812 0 0 292 292
565664.EFXG_00015 565664.EFXG_00095 213 0 0 213
565664.EFXG_00015 565664.EFXG_01320 0 0 278 278
565664.EFXG_00015 565664.EFXG_02406 184 0 0 183
565664.EFXG_00015 565664.EFXG_01198 159 0 0 158
565664.EFXG_00015 565664.EFXG_00831 384 0 0 384
565664.EFXG_00015 565664.EFXG_01009 158 0 110 218
565664.EFXG_00015 565664.EFXG_00799 385 0 0 384
565664.EFXG_00015 565664.EFXG_00945 309 0 0 309
565664.EFXG_00015 565664.EFXG_00956 159 0 0 158
565664.EFXG_00015 565664.EFXG_00794 384 0 0 384
565664.EFXG_00015 565664.EFXG_02596 197 0 0 197
565664.EFXG_00015 565664.EFXG_01960 186 0 0 186
565664.EFXG_00015 565664.EFXG_02007 0 0 298 298
565664.EFXG_00015 565664.EFXG_01552 184 0 0 183
565664.EFXG_00015 565664.EFXG_00792 210 0 0 210
565664.EFXG_00016 565664.EFXG_00690 350 0 312 533
565664.EFXG_00016 565664.EFXG_00152 164 0 0 163
565664.EFXG_00016 565664.EFXG_00198 384 0 810 877
